train_list,val_list,test_list,train_distribution,val_distribution,test_distribution
./class/fmri_p1_data/happy\P15_1_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P01_0_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P06_7_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P08_4_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P13_12_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P03_29_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P07_9_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P06_1_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P09_10_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P08_18_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P09_2_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P01_6_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P15_15_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P15_13_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P12_15_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P15_9_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P12_21_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P03_28_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P07_7_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P02_1_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P04_6_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P01_5_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P07_29_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P05_29_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P05_22_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P14_2_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P07_12_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P11_28_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P11_11_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P12_4_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P11_8_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P02_23_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P13_11_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P03_24_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P16_21_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P02_18_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P04_9_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P03_6_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P09_20_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P03_20_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P13_0_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P07_20_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P01_7_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P02_28_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P15_23_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P05_14_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P12_8_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P07_16_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P07_13_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P07_3_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P01_19_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P06_0_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P14_0_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P11_19_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P01_2_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P14_16_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P10_29_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P16_15_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P01_8_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P03_23_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P06_11_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P11_20_normal.npz,0,0,0,0,0
